Equipment Type_Centrifugal,Equipment Type_Exhaust,Location_Plant B,Location_Plant C,Vibration_Z,RPM,Temperature (°C),Humidity (%),Sound (dB),Pressure (bar),Current (A),Vibration_Y,Vibration_X,vibration_total,Overheating
1,0,0,0,38.01,1.79,0.724,0.498,0.303,3.99,67.29,56.96,4.37,0.9295100860130566,0
0,0,1,0,64.4,1.76,0.408,0.676,0.625,5.36,74.6,64.74,5.58,1.007007944357938,0
0,1,1,0,54.98,1.94,0.609,0.596,0.49,5.46,73.73,79.59,5.72,0.9829532033621946,0
1,0,1,0,49.79,1.32,0.501,0.789,0.302,3.09,69.08,70.92,5.54,0.9822046629903567,0
0,0,0,1,67.08,1.43,0.746,0.408,0.948,3.74,64.21,71.38,6.03,1.2734535719844677,1
1,0,0,0,62.44,1.01,0.697,0.414,0.595,4.89,72.55,73.86,4.1,1.0055993237865666,0
0,0,0,1,54.36,1.38,0.22,0.24,0.469,6.42,64.91,68.09,5.93,0.5709299431629068,0
0,1,0,0,47.2,1.8,0.617,0.414,0.783,4.14,66.21,71.98,4.3,1.0794322581801972,0
1,0,0,1,68.72,1.36,0.459,0.693,0.868,5.12,65.1,71.59,4.06,1.2018127974023243,0
1,0,0,0,66.5,1.69,0.517,0.76,0.471,5.79,69.31,70.7,5.53,1.0328262196516895,0
0,0,1,0,59.01,1.44,0.354,0.692,0.569,7.44,75.85,66.39,6.22,0.9632969427959376,0
0,0,1,0,78.47,1.6,0.85,0.141,0.302,4.63,69.97,68.86,5.49,0.9130087622799684,0
0,1,0,1,49.3,1.16,0.708,0.717,0.471,3.67,67.78,65.06,5.02,1.1122922277890823,0
0,0,0,0,44.74,1.53,0.352,0.132,0.46,5.45,62.37,68.06,5.31,0.594077436030018,0
0,0,1,0,53.08,0.6,0.233,0.68,0.537,6.73,72.76,62.16,5.14,0.8972502438004685,0
0,0,0,0,59.54,1.44,0.423,0.426,0.567,3.55,66.1,64.05,3.87,0.8257687327575439,0
0,1,0,1,62.43,1.01,0.587,0.641,0.612,5.12,70.59,66.59,3.76,1.0630117591071135,0
0,1,1,0,57.59,1.86,0.548,0.234,0.548,3.09,68.23,63.28,4.92,0.8095455515287575,0
1,0,0,1,63.52,1.73,0.751,0.734,0.258,3.17,74.19,65.47,5.08,1.0813514692272814,0
0,1,0,1,47.48,1.64,0.658,0.207,0.312,5.41,69.21,67.18,5.01,0.7570713308533087,0
0,0,0,0,74.44,1.96,0.694,0.366,0.391,4.49,69.71,70.01,5.68,0.8766259179376343,0
1,0,0,1,59.18,1.22,0.565,0.3,0.444,7.23,72.43,72.75,4.78,0.778691851761658,0
0,1,0,1,71.17,2.02,0.222,0.149,0.71,6.01,80.53,65.68,5.56,0.7586731839204547,0
0,1,0,0,63.43,1.78,0.461,0.519,0.267,5.27,74.44,74.68,4.86,0.7437546638509234,0
0,0,0,0,64.57,1.43,0.712,0.861,0.429,5.04,69.56,72.69,6.82,1.196789872951806,0
0,0,0,1,65.7,1.84,0.49,1.033,0.691,5.49,70.02,70.52,5.08,1.3359154164841425,0
0,1,1,0,64.48,1.17,0.601,0.519,0.44,3.2,67.38,68.77,7.34,0.9078336852089154,0
1,0,1,0,66.43,1.25,0.436,0.723,0.592,7.46,65.25,69.6,5.35,1.031159056596023,0
0,0,0,0,73.29,1.32,0.294,0.546,0.472,7.99,67.24,73.94,4.79,0.7793176502556579,0
0,1,0,1,61.97,1.34,0.475,0.6,0.551,3.91,66.14,74.12,4.1,0.9429878047991925,0
0,1,1,0,67.09,1.18,0.562,0.432,0.454,3.6,73.27,74.67,3.56,0.8417743165480877,1
0,0,0,0,59.1,1.87,0.369,0.539,0.633,3.72,64.64,68.21,4.01,0.9095993623568566,0
1,0,0,0,74.4,1.42,0.453,0.607,0.191,6.31,76.67,70.77,4.12,0.7811139481535329,0
1,0,0,0,53.24,1.61,0.312,0.384,0.427,6.31,73.76,74.72,5.39,0.6535510691598629,0
1,0,0,1,78.01,1.33,0.724,0.485,0.559,7.24,70.1,64.88,4.47,1.0353173426539324,0
0,0,0,0,59.6,0.95,0.441,0.488,0.607,6.76,70.0,66.41,5.19,0.8950273738830562,0
0,0,1,0,45.69,1.58,0.791,0.665,0.799,5.25,67.21,68.08,6.28,1.3062568660106635,0
0,0,0,1,61.28,0.93,0.806,0.287,0.422,6.06,71.35,72.5,4.91,0.9539858489516498,0
1,0,1,0,53.19,1.48,0.484,0.49,0.796,6.44,75.44,72.58,7.08,1.0526024890717294,0
1,0,1,0,68.41,1.09,0.298,0.882,0.368,5.56,66.48,66.85,3.82,1.001075421734047,0
0,0,1,0,53.47,2.1,0.083,0.733,0.766,5.38,62.33,60.46,4.85,1.0634538071773498,0
0,0,0,1,55.54,1.77,0.206,0.77,0.663,6.23,73.52,69.23,4.46,1.036776253586086,0
0,0,1,0,41.1,1.53,0.225,0.505,0.317,5.79,71.62,63.41,5.94,0.6372903576863532,0
1,0,0,0,55.48,1.88,0.776,0.564,0.561,6.22,64.4,60.55,2.76,1.111302389091286,0
0,1,0,0,35.76,1.25,0.523,0.7,0.49,6.06,66.33,61.68,3.56,1.0018128567751563,0
0,1,1,0,44.16,1.66,0.578,0.812,0.625,6.6,65.7,69.63,4.89,1.17645781904835,0
1,0,0,0,67.6,1.56,0.056,0.11,0.455,6.21,66.38,74.81,6.55,0.4714456490413291,0
0,0,0,1,67.86,1.58,0.26,0.237,0.439,5.6,68.38,68.19,5.23,0.562574439518896,0
0,0,0,1,64.25,1.88,0.677,0.762,0.774,6.41,68.67,69.06,3.65,1.2798628832808614,0
0,0,0,0,50.33,1.72,0.557,0.445,0.48,5.25,66.75,73.91,3.8,0.8594614592871516,0
0,0,0,0,59.52,1.59,0.471,0.366,0.665,4.21,66.21,60.28,6.67,0.8933207710559516,0
1,0,0,1,59.96,1.0,0.613,0.249,0.455,3.01,68.86,70.6,4.38,0.8029912826425951,0
0,1,1,0,48.42,1.21,0.827,0.389,0.833,5.8,70.84,67.94,4.06,1.2365836000853319,0
0,1,0,1,75.03,1.46,0.456,0.22,0.364,5.95,68.42,70.83,6.48,0.6235639502087977,0
1,0,1,0,68.77,1.53,0.514,0.918,0.377,7.86,75.79,65.58,6.01,1.1176086076977039,0
0,0,0,0,57.79,1.16,0.539,0.496,0.805,4.81,72.54,63.91,6.27,1.0883758541974367,0
0,1,0,0,60.27,2.22,0.978,0.488,0.411,4.97,62.05,68.7,4.05,1.167711008768865,0
1,0,1,0,62.08,1.95,0.08,0.618,0.82,4.01,72.62,76.25,3.47,1.0299145595630737,0
0,0,1,0,39.58,1.68,0.637,0.692,0.678,3.35,73.03,72.3,5.13,1.1594468508732947,0
0,1,0,1,57.53,1.52,0.477,0.689,0.469,6.86,67.83,65.46,5.34,0.9603181764394548,0
1,0,1,0,53.18,1.44,0.613,0.715,0.137,4.25,62.52,61.3,5.36,0.951715818929159,0
0,1,0,0,49.98,1.21,0.369,0.374,0.496,6.04,70.04,59.59,6.48,0.7225323522168402,0
0,1,0,0,57.19,1.52,0.49,0.44,0.52,6.44,69.96,74.58,3.27,0.839106667831927,0
1,0,0,0,77.98,1.58,0.642,0.654,0.733,5.36,64.39,63.22,5.86,1.1735284402177903,0
1,0,1,0,66.41,1.13,1.123,0.395,0.818,7.38,62.74,66.37,3.9,1.4443953752349112,0
0,1,1,0,54.29,1.6,0.662,0.499,0.363,5.22,69.56,74.61,5.86,0.904993922631528,0
0,1,0,0,65.73,1.45,0.33,0.58,0.66,4.42,68.83,59.93,4.53,0.938562730988185,0
1,0,1,0,73.99,0.93,0.415,0.657,0.653,7.48,67.91,75.46,4.19,1.0150285710264515,0
0,0,0,1,69.25,1.24,0.409,0.144,0.715,7.31,69.58,66.73,4.39,0.8362069121933876,0
0,0,0,1,60.6,1.38,0.141,0.643,0.6,3.82,64.49,62.26,3.55,0.8906907431875555,0
0,0,1,0,53.53,2.07,0.434,0.453,0.112,3.13,67.83,66.76,5.04,0.637266820099713,0
0,0,1,0,66.98,1.67,0.647,0.641,0.469,3.45,72.67,64.39,4.23,1.024427157000438,0
1,0,0,0,63.93,1.1,0.245,0.655,0.269,4.43,68.25,70.2,5.79,0.7492736482754482,0
0,0,1,0,68.95,1.65,0.71,0.822,0.459,7.86,61.64,64.76,5.64,1.1791797996912938,0
0,1,0,0,66.35,1.04,0.598,0.771,0.696,5.79,67.64,58.44,6.69,1.198524509553309,0
0,0,0,1,70.5,1.82,0.353,0.769,0.561,4.87,64.65,66.9,5.37,1.0152295306973689,0
1,0,1,0,54.65,1.36,0.472,0.789,0.73,7.44,71.34,61.22,5.52,1.1739697611097144,0
0,0,0,1,73.17,1.47,0.82,0.558,0.568,5.27,71.59,69.02,6.4,1.1429733155240327,0
0,0,1,0,61.98,1.9,0.647,0.506,0.24,4.58,61.71,62.06,4.37,0.8557131528730875,0
1,0,1,0,80.75,1.11,0.502,0.675,-0.004,7.71,73.8,65.56,3.51,0.8412163812004615,0
0,0,0,0,53.11,1.08,0.452,0.646,0.53,7.25,64.44,68.91,5.2,0.9500105262574726,0
1,0,0,0,77.36,1.32,0.515,0.438,0.457,7.22,77.8,66.94,3.58,0.8160379893117722,0
0,0,1,0,61.98,1.81,0.398,0.581,0.305,5.56,69.76,69.25,7.45,0.7674568391772921,0
1,0,1,0,53.49,1.04,0.079,0.493,0.16,6.95,63.77,71.4,6.46,0.5242995327100721,0
0,0,0,0,55.16,0.65,0.908,0.329,0.353,3.9,64.29,62.21,7.16,1.0282577497884469,0
0,1,0,1,56.8,1.36,0.531,0.758,0.461,5.87,71.74,67.68,5.06,1.0339468071424178,0
0,1,1,0,64.24,1.67,0.58,0.511,0.633,7.92,68.04,51.35,5.55,0.9991045991286398,0
1,0,0,0,65.23,1.86,0.488,0.91,0.538,4.45,69.52,69.24,4.54,1.1643401564834908,0
1,0,1,0,54.26,1.36,0.353,0.175,0.822,6.97,78.06,66.5,5.88,0.9115470366360695,0
1,0,0,0,59.76,1.38,0.463,0.389,0.293,5.45,66.5,63.08,3.78,0.6719665170229838,0
0,1,0,1,81.42,1.85,0.18,0.507,0.676,3.2,70.3,69.58,2.46,0.8639589110600111,0
1,0,1,0,77.28,0.94,0.955,0.727,0.509,6.82,77.1,73.86,4.21,1.3037005024161032,0
0,0,1,0,64.36,1.38,0.253,0.58,0.639,3.84,71.35,65.62,3.54,0.8992941676670654,0
1,0,0,1,60.38,1.56,0.294,0.562,0.413,6.16,61.97,63.28,6.48,0.7568678880755875,0
1,0,1,0,61.2,1.63,0.412,0.275,0.714,3.43,72.53,68.83,6.82,0.8690023014929247,0
0,0,1,0,66.14,1.35,0.758,0.269,0.559,7.73,64.18,61.32,3.6,0.979492725853541,0
0,0,1,0,49.77,1.51,0.503,0.565,0.364,4.46,77.03,64.7,6.29,0.8394819831300728,0
0,1,0,0,57.43,0.75,0.253,0.227,0.498,4.13,65.89,74.11,5.95,0.6029444418849883,0
0,0,0,0,43.31,1.3,0.751,0.394,0.452,3.65,84.85,68.31,3.43,0.9610104057709261,0
0,0,1,0,63.99,1.64,0.646,0.6,0.598,7.73,77.34,58.6,4.61,1.0653262411111444,0
1,0,0,1,66.47,1.21,0.608,0.304,0.264,6.56,66.02,59.02,4.42,0.7292297306062062,1
0,1,0,1,55.17,1.52,0.643,0.821,0.494,6.71,70.1,68.81,5.75,1.1539176747064757,0
0,0,1,0,75.74,1.63,0.979,0.745,0.579,5.5,73.77,72.31,3.77,1.3596716515394442,0
0,1,0,0,47.74,1.4,0.937,0.186,0.507,5.37,73.92,59.91,4.9,1.0814869393571058,0
0,0,0,0,45.36,1.55,0.363,0.314,0.769,3.55,72.21,70.25,4.31,0.9064910369110111,0
0,1,1,0,62.24,1.21,0.825,0.043,0.655,5.8,76.26,74.65,5.47,1.054276529189567,0
0,0,0,0,70.47,1.44,0.577,0.343,0.499,4.23,69.39,77.44,4.78,0.8364083930712316,0
1,0,0,0,76.84,1.68,0.6,0.653,0.543,7.89,68.17,69.66,4.46,1.0398355639234504,0
0,1,0,1,55.41,1.55,0.162,0.417,0.559,6.98,68.27,70.53,4.79,0.7159706697903204,0
0,1,1,0,70.79,1.32,0.466,0.592,0.581,5.06,74.29,57.33,7.04,0.9514100062538758,0
0,0,0,0,59.61,1.57,0.337,0.196,0.135,3.76,71.83,78.5,4.58,0.41256514637084896,0
0,1,0,0,58.27,1.71,0.666,0.66,0.44,6.93,71.46,65.12,3.96,1.0357393494504301,0
0,0,0,0,68.84,0.89,0.714,0.389,0.203,3.61,73.98,63.33,5.58,0.8380489245861485,0
0,1,1,0,66.52,1.85,0.085,0.502,0.756,3.95,59.74,66.72,4.86,0.9114631095112956,0
0,1,1,0,44.24,1.4,0.496,0.481,0.488,4.06,71.55,75.56,3.58,0.8458847439220074,0
1,0,0,0,74.77,1.63,0.724,0.246,0.461,5.78,71.09,79.04,7.23,0.892867851364355,0
1,0,0,1,73.8,1.86,0.463,0.269,0.679,6.94,78.34,68.63,4.65,0.8647375324339751,0
0,1,0,1,53.74,1.09,0.646,0.694,0.584,4.57,62.36,72.99,4.62,1.1135564646662512,0
1,0,1,0,63.96,1.29,0.57,0.58,0.274,3.42,77.79,68.22,5.16,0.8581235342303578,0
0,1,0,1,64.94,1.41,0.568,0.71,0.486,5.32,70.38,62.81,6.73,1.0309801162001138,0
0,0,0,0,62.61,1.26,0.446,0.565,0.433,6.74,72.44,75.38,3.32,0.8400178569530531,0
0,1,1,0,54.5,2.02,0.257,0.529,0.151,4.11,78.38,64.89,5.28,0.6071993083000014,1
0,1,1,0,53.28,1.24,0.276,0.155,0.362,4.1,72.8,75.68,7.09,0.48087940276123287,0
1,0,0,1,59.74,1.33,0.642,0.446,0.463,7.74,72.0,74.49,5.13,0.9085422389740612,0
1,0,1,0,71.73,1.56,0.504,0.495,0.477,7.77,71.21,71.07,3.76,0.8523907554637133,0
0,0,0,1,65.44,1.14,0.472,0.891,0.204,7.95,67.58,77.14,4.38,1.0287278551687031,0
0,0,0,1,56.29,1.38,0.415,0.637,0.73,7.04,69.86,79.16,5.21,1.0539895635156926,0
0,0,0,0,67.72,1.6,0.439,0.807,0.48,3.94,66.42,67.12,6.33,1.0365182101632369,0
0,1,0,1,31.51,1.4,0.709,0.62,0.508,4.06,69.78,63.96,4.66,1.0701144798571787,0
0,0,0,1,71.49,1.47,0.433,0.358,0.58,4.7,58.32,58.68,5.83,0.8074979876135915,0
0,0,1,0,42.6,1.34,0.232,0.523,0.342,4.59,72.15,79.22,3.56,0.6665710764802205,0
1,0,0,0,56.38,1.05,0.649,0.547,0.591,7.78,69.39,65.8,3.56,1.0342586717064548,0
1,0,0,0,48.8,1.6,0.459,0.312,0.427,6.95,68.32,73.68,4.52,0.7002528114902502,0
0,0,0,1,47.05,2.03,0.506,0.423,0.321,6.62,71.1,64.29,6.44,0.73348892288841,0
0,0,1,0,71.61,1.51,0.822,0.459,0.615,3.93,62.83,75.69,5.07,1.1245399059170822,0
0,1,1,0,55.32,1.57,0.496,0.821,0.798,7.55,79.65,64.5,5.29,1.247742361226868,0
0,1,1,0,63.47,1.71,0.558,0.084,0.645,7.14,69.49,62.04,5.28,0.8569976662745356,0
1,0,0,0,59.53,1.12,0.264,0.741,0.685,3.82,69.27,66.96,6.11,1.0430733435382193,0
0,0,0,0,64.77,2.01,0.456,0.313,0.396,7.36,65.17,65.34,4.39,0.6802359884628275,0
0,0,0,1,60.77,1.56,0.622,0.226,0.18,4.36,70.12,70.98,5.69,0.6858279667671769,0
0,0,0,1,47.17,1.99,0.189,0.736,0.798,3.4,76.93,67.74,4.17,1.1019169660187649,0
0,0,1,0,69.96,1.28,0.54,0.646,0.911,6.28,75.18,71.14,6.98,1.2404986900436452,0
0,0,0,1,55.06,2.05,0.52,0.751,0.809,6.27,74.27,66.54,4.2,1.2201975249933923,0
0,1,1,0,44.43,1.73,0.508,0.66,0.433,3.47,72.73,64.67,4.12,0.9386975018609564,0
0,1,0,0,55.72,1.67,0.707,0.912,0.269,4.59,68.21,65.08,5.55,1.1848856484910264,0
0,0,0,1,75.01,1.57,0.567,0.612,0.287,7.96,62.75,78.22,5.08,0.8822709334439166,0
0,1,1,0,68.5,1.43,0.796,0.469,0.163,6.39,68.99,69.13,5.33,0.9381609669987342,0
0,1,0,0,56.51,1.86,0.301,0.569,0.479,6.65,68.82,58.08,5.23,0.8023733544927821,0
0,0,1,0,56.51,1.54,0.527,0.749,0.821,4.06,75.24,65.4,3.91,1.2299475598577363,0
0,1,0,1,56.78,0.91,0.517,0.344,0.472,3.39,71.55,68.48,6.61,0.7800057692094334,0
0,0,1,0,80.77,1.16,0.286,0.37,0.56,4.38,78.06,77.23,5.89,0.7295861840797151,0
0,1,0,0,63.82,1.44,0.691,0.438,0.775,4.24,75.99,73.14,6.36,1.1269205828273792,0
0,0,0,1,64.3,1.59,0.965,0.079,0.419,4.17,67.72,63.39,4.47,1.0550009478668727,0
0,0,0,0,70.3,1.48,0.497,0.528,0.907,3.96,61.02,80.09,5.42,1.1612243538610445,0
0,1,0,1,62.39,1.87,0.601,0.123,0.898,5.87,76.93,67.84,5.2,1.0875357465389357,0
0,1,1,0,57.41,0.91,0.517,0.511,0.474,4.64,76.8,74.23,6.13,0.8678052776977103,1
1,0,0,0,58.04,1.54,0.357,0.673,0.384,7.1,63.17,62.22,6.16,0.8531318772616576,0
0,0,0,0,59.28,0.95,0.136,0.405,0.639,3.92,77.55,56.01,5.19,0.768662474692241,0
0,0,1,0,59.63,1.73,0.359,0.835,0.43,5.32,71.91,60.96,3.48,1.005487941250416,0
0,0,0,0,67.28,1.47,0.222,0.208,0.269,3.07,70.8,51.75,6.78,0.40608989152649444,0
0,0,0,0,60.52,1.63,0.841,0.738,0.756,5.41,78.07,78.56,5.56,1.3503558790185646,0
0,1,0,0,67.33,1.24,0.477,0.635,0.743,3.28,76.72,69.07,4.39,1.0875674691714534,0
0,1,0,0,59.19,1.88,0.431,0.157,0.531,7.89,73.26,63.38,5.41,0.7016915276672506,0
1,0,1,0,60.79,1.81,0.678,1.042,0.247,6.95,72.37,70.26,3.49,1.267460847521532,0
0,0,0,0,40.02,1.68,0.276,0.487,0.254,5.45,73.08,68.95,6.06,0.6147039938051485,0
1,0,0,0,69.16,1.46,0.347,0.325,0.521,3.43,68.0,71.1,3.53,0.7053190767305249,0
1,0,0,0,63.46,1.67,0.514,0.219,0.4,5.96,69.72,74.05,4.78,0.6871368131602323,0
1,0,0,1,69.98,1.29,0.706,0.456,0.432,6.79,65.49,66.55,5.24,0.9449846559600849,0
1,0,0,1,31.04,1.76,0.6,0.475,0.704,3.95,68.33,63.6,6.04,1.039827389521934,0
1,0,1,0,80.88,1.99,0.55,0.521,0.647,5.84,68.17,72.14,5.11,0.9962680362231843,0
0,1,1,0,58.6,1.82,0.516,0.44,0.776,7.07,66.82,72.01,5.63,1.0305493680556987,0
0,1,1,0,71.08,1.28,0.58,0.627,0.302,6.84,70.68,68.5,4.97,0.9059431549495807,0
1,0,0,0,49.6,1.61,0.54,0.422,0.431,7.01,68.38,78.89,4.97,0.809595578051165,0
0,1,0,1,66.13,1.11,0.294,0.113,0.652,7.4,72.51,65.81,5.09,0.7240918450031045,0
0,1,0,1,49.47,1.67,0.509,0.47,0.59,7.69,61.89,63.5,4.81,0.9099895603796782,0
1,0,1,0,53.76,1.64,0.285,0.027,0.806,5.03,69.43,70.09,3.31,0.8553303455390788,0
0,1,0,1,79.14,0.94,0.516,0.571,0.584,5.84,70.66,64.63,4.23,0.966101961492678,0
0,1,1,0,58.09,1.15,0.404,0.304,0.87,6.95,68.45,70.48,5.24,1.0062464906771105,0
0,0,0,0,62.17,1.42,1.008,0.533,0.608,6.49,69.14,63.83,4.75,1.2922139915664124,0
1,0,0,1,68.7,1.41,0.492,0.763,0.712,7.98,62.07,66.0,4.84,1.1537664408362724,0
0,0,0,0,64.96,1.14,0.219,0.31,0.435,3.07,71.78,77.45,4.68,0.5773092758651986,1
0,0,0,0,61.5,1.62,0.473,0.712,0.503,4.78,73.24,65.97,4.14,0.9918074409884209,0
1,0,0,1,63.65,1.58,0.604,0.413,0.682,4.41,72.47,64.01,4.51,1.0002544676231144,0
0,0,1,0,84.03,1.44,0.835,0.851,0.823,4.31,75.19,73.85,4.69,1.4487080451215835,0
0,0,0,1,59.42,1.27,0.382,0.427,0.646,4.11,71.01,62.74,5.01,0.863463375019462,0
0,1,0,0,62.01,1.81,0.184,0.332,0.483,6.55,72.39,64.54,5.39,0.6143036708338963,0
0,0,1,0,70.51,2.0,0.663,0.637,0.775,3.42,70.78,70.88,4.82,1.2024820164975443,0
1,0,0,0,71.06,1.35,0.224,0.413,0.062,6.71,73.44,72.69,3.97,0.47390821896227964,0
0,1,1,0,71.87,1.32,0.413,0.332,0.216,6.47,62.11,74.1,3.6,0.5722315964712189,0
0,1,0,1,66.39,1.65,0.448,0.404,0.636,4.25,65.53,64.26,7.6,0.8765934063178892,0
0,1,0,0,48.57,1.39,0.486,0.491,0.503,4.26,77.93,70.98,3.87,0.8545677269824785,0
1,0,1,0,76.33,1.46,0.638,0.768,0.621,6.14,57.7,65.67,4.48,1.175801428813556,0
1,0,1,0,48.54,1.72,0.363,0.113,0.513,6.81,69.3,64.97,5.52,0.6385193810684214,0
1,0,0,1,63.03,0.93,0.445,0.505,0.614,7.38,75.86,74.02,5.36,0.9110686033444463,0
0,0,1,0,52.46,1.9,0.497,0.625,0.337,7.26,69.53,65.25,5.52,0.8667196778659176,0
0,0,1,0,59.36,1.52,0.53,0.539,0.614,7.82,67.97,69.39,4.56,0.9738670340452027,0
0,1,0,0,63.29,1.38,0.52,0.762,0.699,5.91,70.65,68.78,5.24,1.1574303434764444,0
0,1,0,1,63.21,1.47,0.587,0.485,0.744,7.54,68.23,62.65,5.06,1.0645797292828751,0
1,0,0,1,64.22,1.49,0.669,0.463,0.903,7.04,70.15,72.83,4.69,1.2154583497594642,0
1,0,0,0,76.14,0.98,0.579,0.618,0.549,7.47,66.58,70.8,5.25,1.009240308350791,0
0,0,0,0,64.54,1.95,0.591,0.52,0.555,3.06,75.54,58.07,6.06,0.9631749581462341,0
0,0,0,0,57.56,1.51,0.184,0.422,0.195,7.83,77.12,69.39,4.98,0.49996499877491424,0
1,0,1,0,69.64,1.63,0.51,0.603,0.394,5.37,69.33,64.14,4.98,0.8825786083970084,0
1,0,0,1,71.89,1.79,0.596,0.369,0.461,6.99,63.07,73.49,6.07,0.8389862930942316,0
0,0,0,1,47.72,1.19,0.646,0.378,0.71,3.64,67.38,60.77,5.96,1.031649165171959,0
0,1,0,1,65.97,1.64,0.362,0.394,0.378,4.98,69.08,66.22,6.58,0.655106098277218,0
0,1,1,0,67.01,1.42,0.368,0.771,0.659,4.36,72.53,69.81,3.24,1.0789559768591117,0
0,0,0,1,57.02,1.75,0.385,-0.144,0.5,4.46,64.96,68.27,5.91,0.6472719675685021,0
0,0,0,1,73.76,0.86,0.607,0.579,0.465,3.62,66.15,71.81,5.6,0.9591219943260606,0
0,1,0,1,58.5,1.47,0.707,0.507,0.55,7.03,72.55,60.41,4.11,1.0292706155331552,0
0,0,0,1,61.26,1.32,0.419,0.164,0.422,3.05,74.69,76.26,5.25,0.6168800531707926,0
0,1,0,0,58.27,1.63,0.682,0.562,0.414,4.56,66.89,70.63,6.05,0.9758913873992331,0
0,1,1,0,60.16,1.64,0.525,0.595,0.159,3.87,63.33,74.8,4.17,0.8092780733468565,0
0,0,0,1,49.04,1.29,0.475,0.618,0.45,5.95,86.42,72.37,5.44,0.9000272218105406,0
1,0,0,1,45.6,1.29,0.458,-0.03,0.404,4.27,73.92,67.94,5.87,0.6114572756947129,0
1,0,0,1,75.95,1.47,0.649,0.773,0.397,4.29,68.66,61.58,3.93,1.0845916282177364,0
1,0,0,1,51.53,1.23,0.565,0.352,0.583,5.44,74.35,65.18,4.86,0.8848830431192587,0
1,0,0,1,50.09,1.75,0.955,0.637,0.632,6.26,69.38,75.95,5.3,1.3104266480806928,0
1,0,0,0,38.47,1.39,0.33,0.648,0.546,3.61,74.34,74.93,4.2,0.9093514172199877,0
1,0,0,0,53.61,0.63,0.604,0.325,0.699,3.88,70.8,64.9,4.12,0.9793068977598391,0
1,0,1,0,46.77,1.39,0.394,0.632,0.615,4.24,70.46,53.91,4.86,0.9658597206634097,0
0,0,1,0,76.42,1.19,0.326,0.423,0.441,7.87,69.43,66.94,5.8,0.6925936759745933,0
0,0,0,1,70.1,1.01,0.498,0.086,0.407,4.99,62.76,66.56,5.64,0.6488828861975018,0
1,0,0,1,53.12,1.13,0.527,0.734,0.563,5.99,79.69,66.75,4.14,1.0646379666346677,0
0,0,0,0,82.52,1.53,1.084,0.345,0.615,4.21,65.29,70.64,5.65,1.2931767087293213,0
0,1,1,0,69.82,1.9,0.463,0.329,0.78,5.45,63.2,72.38,4.16,0.9648885946056156,0
1,0,0,1,56.75,1.59,0.274,0.419,0.738,3.37,68.94,72.95,3.39,0.8917852880598558,0
0,1,0,1,35.01,1.32,0.555,0.554,0.392,3.17,65.19,70.23,4.63,0.8767012033754717,1
0,0,0,1,82.91,1.64,0.085,0.489,0.48,5.34,69.74,59.0,6.12,0.6904679572579744,1
1,0,1,0,46.1,1.36,0.482,0.61,0.634,4.99,73.44,66.29,5.66,1.0031849281164467,0
0,1,0,0,43.55,1.29,0.503,0.232,0.714,3.68,74.98,79.52,5.0,0.9036752735357982,0
0,0,0,0,70.23,1.15,0.659,0.352,0.688,6.44,74.07,69.87,4.58,1.0156421613934703,0
1,0,0,1,84.4,0.97,0.695,0.477,0.487,7.96,68.47,69.84,4.61,0.9735106573633387,0
1,0,0,1,73.84,1.38,0.399,0.88,0.249,4.98,70.25,69.8,5.11,0.9977985768680971,0
0,1,0,1,65.64,1.55,0.47,0.477,0.3,6.12,72.04,70.08,3.93,0.7337772141460921,0
0,1,0,1,65.95,1.47,0.347,0.717,0.555,7.81,61.21,56.08,4.65,0.9708362374777736,0
0,1,0,1,68.53,1.38,0.274,0.508,0.568,7.16,72.85,66.8,4.78,0.8097925660315733,0
0,0,1,0,67.59,1.22,0.562,0.403,0.28,5.32,62.71,67.81,3.65,0.746091817405874,0
0,1,0,0,62.81,1.68,0.245,0.451,0.509,6.69,80.2,74.41,4.16,0.722846456725078,0
0,1,1,0,61.04,1.1,0.417,0.466,0.626,3.64,67.98,68.24,5.41,0.8848282319184894,0
0,1,1,0,59.37,1.73,0.301,0.621,0.27,5.56,69.08,59.77,5.01,0.7410411594506745,0
1,0,0,1,52.46,1.2,0.61,0.775,0.721,4.4,66.15,70.15,4.69,1.2217061839902423,0
0,1,1,0,57.19,1.27,0.86,0.572,0.424,3.81,66.85,63.98,4.09,1.1164945140931055,0
0,1,0,0,43.07,1.06,0.24,0.737,0.752,5.13,81.37,61.92,6.58,1.0799412021031516,0
0,0,0,1,59.02,1.35,0.129,0.307,0.393,3.66,74.7,63.83,4.16,0.5151106677210248,0
0,0,0,0,50.11,1.79,0.475,0.417,0.295,6.49,62.25,70.71,5.25,0.6975234763074286,0
0,1,1,0,48.96,1.65,0.503,0.355,0.408,5.28,77.52,74.29,4.51,0.738578364156438,0
0,0,0,1,61.8,1.79,0.544,0.563,0.481,5.66,75.97,70.41,5.04,0.9188394854380171,0
0,0,0,0,73.92,1.66,0.411,0.428,0.422,3.73,68.59,71.16,5.46,0.7281407830907427,0
0,0,0,0,69.18,1.17,0.46,0.646,0.457,3.7,71.53,70.37,3.63,0.9152950344014765,0
1,0,0,1,44.29,1.4,0.574,0.314,0.567,5.92,69.93,68.51,4.99,0.8657719099162319,0
0,1,0,0,50.1,1.27,0.708,0.509,0.466,7.93,79.86,71.48,6.19,0.9886865023858675,0
0,1,0,1,69.41,1.9,0.109,0.637,0.487,3.48,66.02,55.91,6.76,0.8092088729123031,0
